id,startTime,duration,endTime,totalPausedTime,completed,stopped,type,tags
241,2024-08-04T10:00:00+05:30,7200,2024-08-04T12:00:00+05:30,0,Y,,Work,Test
242,2024-08-04T12:00:00+05:30,3600,2024-08-04T13:00:00+05:30,0,Y,,Work,Test
98,2024-08-05T07:00:00+05:30,7200,2024-08-05T09:00:00+05:30,0,Y,,Work,Chemistry revision 
101,2024-08-05T10:00:00+05:30,7200,2024-08-05T12:00:00+05:30,0,Y,,Work,Chemistry lec
102,2024-08-05T12:00:00+05:30,3600,2024-08-05T13:00:00+05:30,0,Y,,Work,Chemistry lec
99,2024-08-05T15:36:00+05:30,997,2024-08-05T15:52:37+05:30,0,Y,,Work,Chemistry revision 
100,2024-08-05T15:52:00+05:30,8782,2024-08-05T18:18:22+05:30,0,Y,,Work,Chemistry practice 
103,2024-08-05T19:22:00+05:30,1890,2024-08-05T19:53:30+05:30,0,Y,,Work,Chemistry practice 
104,2024-08-05T21:09:00+05:30,3357,2024-08-05T22:04:57+05:30,0,Y,,Work,Chemistry practice 
105,2024-08-05T23:26:00+05:30,1732,2024-08-05T23:54:52+05:30,0,Y,,Work,Physic practice 
106,2024-08-06T07:22:00+05:30,2849,2024-08-06T08:09:29+05:30,0,Y,,Work,Chemistry revision 
108,2024-08-06T08:25:00+05:30,1140,2024-08-06T08:44:00+05:30,0,Y,,Work,Physic lec
107,2024-08-06T08:44:00+05:30,274,2024-08-06T08:48:34+05:30,0,Y,,Work,
109,2024-08-06T10:00:00+05:30,7200,2024-08-06T12:00:00+05:30,0,Y,,Work,Chemistry lec
110,2024-08-06T12:00:00+05:30,5640,2024-08-06T13:34:00+05:30,0,Y,,Work,Maths lecture 
111,2024-08-06T19:00:00+05:30,3600,2024-08-06T20:00:00+05:30,0,Y,,Work,Chemistry revision 
112,2024-08-07T09:57:00+05:30,9863,2024-08-07T12:41:23+05:30,0,Y,,Work,Chemistry practice 
113,2024-08-07T14:38:00+05:30,6137,2024-08-07T16:20:17+05:30,0,Y,,Work,Chemistry revision 
114,2024-08-07T22:34:00+05:30,2689,2024-08-07T23:18:49+05:30,0,Y,,Work,Chemistry revision 
115,2024-08-08T01:01:00+05:30,2363,2024-08-08T01:40:23+05:30,0,Y,,Work,Chemistry practice 
116,2024-08-08T02:04:00+05:30,864,2024-08-08T02:18:24+05:30,0,Y,,Work,Chemistry revision 
117,2024-08-08T03:21:00+05:30,1756,2024-08-08T03:50:16+05:30,0,Y,,Work,Physic practice 
118,2024-08-08T17:51:00+05:30,3300,2024-08-08T18:46:00+05:30,0,Y,,Work,
332,2024-08-09T10:45:00+05:30,7200,2024-08-09T12:45:00+05:30,0,Y,,Work,"Physic lec,Maths lecture "
333,2024-08-09T12:50:00+05:30,7200,2024-08-09T14:50:00+05:30,0,Y,,Work,Chemistry revision 
122,2024-08-10T10:00:00+05:30,3300,2024-08-10T10:55:00+05:30,0,Y,,Work,Maths lecture 
120,2024-08-10T10:59:00+05:30,2130,2024-08-10T11:34:30+05:30,0,Y,,Work,Maths lecture 
123,2024-08-10T11:37:00+05:30,4103,2024-08-10T12:45:23+05:30,0,Y,,Work,Physic practice 
124,2024-08-10T13:11:00+05:30,1075,2024-08-10T13:28:55+05:30,0,Y,,Work,Physic practice 
125,2024-08-10T15:25:00+05:30,1780,2024-08-10T15:54:40+05:30,0,Y,,Work,Physic practice 
126,2024-08-10T15:55:00+05:30,2892,2024-08-10T16:43:12+05:30,0,Y,,Work,Phy revision 
127,2024-08-10T18:22:00+05:30,3606,2024-08-10T19:22:06+05:30,0,Y,,Work,Physic practice 
128,2024-08-10T19:31:00+05:30,2414,2024-08-10T20:11:14+05:30,0,Y,,Work,Physic practice 
129,2024-08-10T22:09:00+05:30,2917,2024-08-10T22:57:37+05:30,0,Y,,Work,"Physic practice ,School "
130,2024-08-11T06:00:00+05:30,7200,2024-08-11T08:00:00+05:30,0,Y,,Work,"Phy revision ,Chemistry revision "
131,2024-08-11T08:00:00+05:30,3600,2024-08-11T09:00:00+05:30,0,Y,,Work,Maths revision 
132,2024-08-11T10:00:00+05:30,7200,2024-08-11T12:00:00+05:30,0,Y,,Work,Test
133,2024-08-11T12:00:00+05:30,3600,2024-08-11T13:00:00+05:30,0,Y,,Work,Test
134,2024-08-11T14:00:00+05:30,7200,2024-08-11T16:00:00+05:30,0,Y,,Work,Test
135,2024-08-11T16:00:00+05:30,3660,2024-08-11T17:01:00+05:30,0,Y,,Work,Test
136,2024-08-11T21:25:00+05:30,4391,2024-08-11T22:38:11+05:30,0,Y,,Work,School 
139,2024-08-12T06:00:00+05:30,7200,2024-08-12T08:00:00+05:30,0,Y,,Work,School 
140,2024-08-12T08:00:00+05:30,7200,2024-08-12T10:00:00+05:30,0,Y,,Work,School 
141,2024-08-12T10:00:00+05:30,7200,2024-08-12T12:00:00+05:30,0,Y,,Work,School 
142,2024-08-12T12:30:00+05:30,7200,2024-08-12T14:30:00+05:30,0,Y,,Work,"Chemistry lec,Maths lecture "
143,2024-08-13T05:56:00+05:30,2952,2024-08-13T06:45:12+05:30,0,Y,,Work,Chemistry revision 
146,2024-08-13T07:00:00+05:30,2820,2024-08-13T07:47:00+05:30,0,Y,,Work,Chemistry practice 
147,2024-08-13T10:00:00+05:30,7200,2024-08-13T12:00:00+05:30,0,Y,,Work,Chemistry lec
148,2024-08-13T12:00:00+05:30,3600,2024-08-13T13:00:00+05:30,0,Y,,Work,Chemistry lec
